data_source,pfas_source,matrix,pfas_source_matrix,site,sample_name,prePFBA,prePFPeA,prePFHxA,prePFHpA,prePFOA,prePFNA,prePFBS,prePFHxS,prePFOS,dPFBA,dPFPeA,dPFHxA,dPFHpA,dPFOA,dPFNA
liu2022,afff,gw,afff_gw,Site 2,MW210,8.450704225,30.41825095,22.04472843,7.713498623,4.358353511,0.431965443,2.006688963,30.07518797,85.37074148,84.457101,28.951928,53.682433,5.762851,2.125587,0.25136
liu2022,afff,gw,afff_gw,Site 4,MW0502,5.633802817,20.91254753,11.50159744,4.958677686,3.147699758,0.215982721,1.672240803,12.78195489,41.28256513,67.735891,56.563585,57.185725,8.914816,3.062508,0.429855
liu2022,afff,gw,afff_gw,Site 4,MW06,4.225352113,12.54752852,8.626198083,2.754820937,2.421307506,0,2.675585284,7.769423559,93.78757515,134.596419,45.318087,45.876117,4.193461,0.952168,0.248285
liu2022,afff,gw,afff_gw,Site 1,MW0902B,1.877934272,8.365019011,7.028753994,0.826446281,0.968523002,0.863930886,1.337792642,8.521303258,343.2865731,110.037596,49.24439,134.553525,2.319755,1.661101,0
liu2022,afff,gw,afff_gw,Site 1,MW13-13,7.042253521,23.95437262,15.33546326,4.407713499,3.147699758,4.103671706,1.672240803,14.03508772,236.8737475,143.694686,125.556609,66.409214,5.847527,0.0459,0
liu2022,afff,gw,afff_gw,Site 2,L14,19.71830986,58.93536122,44.7284345,13.49862259,15.49636804,1.727861771,2.006688963,48.62155388,661.9238477,186.572144,158.233609,219.327762,111.253548,34.732213,3.800999
liu2022,afff,gw,afff_gw,Site 1,P5,43.19248826,89.7338403,120.1277955,22.86501377,30.26634383,0.863930886,17.39130435,202.2556391,193.987976,466.508541,560.027456,387.438158,32.311763,8.139986,1.529476
liu2022,afff,gw,afff_gw,Site 1,07MW02S,130.5164319,238.78327,500.6389776,82.92011019,57.38498789,1.079913607,73.57859532,583.7092732,1762.725451,1767.441456,2072.691227,1750.580419,38.902979,0,0.0522
liu2022,afff,gw,afff_gw,Site 1,TCF,176.5258216,302.2813688,598.0830671,71.62534435,86.44067797,4.319654428,197.993311,556.8922306,3251.503006,2682.305782,3285.544515,5329.356152,152.0148,45.069852,2.230978
liu2022,afff,soil,afff_soil,Site 4,SJ-03,2.34741784,0.760456274,0.319488818,0,0,0,0,1.002506266,2.204408818,3.436859,62.436739,60.697493,21.149286,31.492265,0
liu2022,afff,soil,afff_soil,Site 4,SJ-06,3.755868545,1.520912548,0.638977636,1.101928375,1.694915254,1.727861771,0.668896321,8.771929825,109.8196393,39.688162,43.661686,32.996614,21.720681,46.35,0
liu2022,afff,soil,afff_soil,Site 4,SJ-02,9.389671362,1.520912548,1.916932907,0.550964187,1.694915254,0,0,2.005012531,14.82965932,13.86569,61.704301,48.322128,30.337716,59.900499,0
liu2022,afff,soil,afff_soil,Site 3,7s-CF1-B,3.286384977,3.802281369,2.236421725,0.826446281,0.726392252,0,0,1.253132832,29.05811623,76.716409,30.870772,43.480662,27.785186,86.574145,0
liu2022,afff,soil,afff_soil,Site 1,SS-08,11.7370892,21.6730038,62.61980831,2.479338843,1.937046005,0.431965443,3.344481605,6.766917293,75.95190381,62.003344,50.367976,47.266671,29.642374,103.819211,0
liu2022,afff,soil,afff_soil,Site 1,SS-10,6.572769953,5.703422053,19.48881789,2.479338843,3.147699758,6.479481641,2.341137124,13.03258145,557.7154309,31.447474,54.328576,46.651497,77.567474,89.336302,0
liu2022,afff,soil,afff_soil,Site 3,5s-CF2,2.816901408,3.041825095,2.236421725,1.101928375,1.452784504,1.079913607,0.334448161,20.05012531,386.1723447,40.631167,40.030433,146.365454,21.315447,54.669317,0
liu2022,afff,soil,afff_soil,Site 1,SS-09,1.877934272,4.182509506,5.111821086,1.101928375,0.968523002,5.615550756,0.334448161,2.756892231,731.0621242,76.154199,73.211095,53.089974,27.630059,88.294254,0
liu2022,afff,soil,afff_soil,Site 4,SJ-05,4.694835681,5.323193916,1.277955272,0.826446281,0.484261501,0.215982721,0.334448161,2.756892231,27.25450902,85.870149,87.194946,68.301147,37.072715,122.660132,0
liu2022,afff,soil,afff_soil,Site 1,SS-06,11.26760563,41.06463878,78.27476038,10.46831956,7.021791768,3.239740821,5.351170569,12.28070175,1236.873747,113.453566,104.232095,187.194287,38.283428,44.158039,31.231628
liu2022,afff,soil,afff_soil,Site 4,SJ-04,2.816901408,1.901140684,2.236421725,0.275482094,0,0,0,1.503759398,14.62925852,102.126766,131.710305,157.449604,44.387773,96.226647,0
liu2022,afff,soil,afff_soil,Site 2,SS 16-3,6.572769953,12.16730038,8.306709265,11.01928375,10.16949153,17.49460043,0.334448161,26.81704261,1300.801603,96.526743,112.805839,174.492798,67.210512,141.573044,32.46798
liu2022,afff,soil,afff_soil,Site 4,SJ-01,2.816901408,2.281368821,2.875399361,0.275482094,0.484261501,0.215982721,0.334448161,8.020050125,43.48697395,140.541176,152.641984,266.312803,65.652058,138.557146,0
